rank,movement,points,name,country,country_code,abbreviation
1,0,9890,"Sinner, Jannik",Italy,ITA,SIN
2,0,8360,"Djokovic, Novak",Serbia,SRB,DJO
3,0,8130,"Alcaraz, Carlos",Spain,ESP,ALC
4,0,6905,"Zverev, Alexander",Germany,DEU,ZVE
5,0,6445,"Medvedev, Daniil",Neutral,DEU,MED
6,0,4420,"Rublev, Andrey",Neutral,DEU,RUB
7,0,4235,"Hurkacz, Hubert",Poland,POL,HUR
8,0,4025,"Ruud, Casper",Norway,NOR,RUU
9,0,3830,"de Minaur, Alex",Australia,AUS,DE
10,0,3750,"Dimitrov, Grigor",Bulgaria,BGR,DIM
11,0,3745,"Tsitsipas, Stefanos",Greece,GRC,TSI
12,1,3350,"Fritz, Taylor",USA,USA,FRI
13,-1,3100,"Paul, Tommy",USA,USA,PAU
14,0,2595,"Shelton, Ben",USA,USA,SHE
15,0,2370,"Rune, Holger",Denmark,DNK,RUN
16,0,2300,"Humbert, Ugo",France,FRA,HUM
17,0,2075,"Auger-Aliassime, Felix",Canada,CAN,AUG
18,0,2020,"Baez, Sebastian",Argentina,ARG,BAE
19,5,1904,"Tabilo, Alejandro",Chile,CHL,TAB
20,-1,1825,"Jarry, Nicolas",Chile,CHL,JAR
21,-1,1795,"Korda, Sebastian",USA,USA,KOR
22,-1,1780,"Khachanov, Karen",Neutral,USA,KHA
23,0,1730,"Bublik, Alexander",Kazakhstan,KAZ,BUB
24,-2,1625,"Mannarino, Adrian",France,FRA,MAN
25,0,1620,"Musetti, Lorenzo",Italy,ITA,MUS
26,0,1585,"Lehecka, Jiri",Czechia,CZE,LEH
27,1,1470,"Griekspoor, Tallon",Netherlands,NLD,GRI
28,1,1461,"Draper, Jack",Great Britain,GBR,DRA
29,1,1355,"Tiafoe, Frances",USA,USA,TIA
30,-3,1315,"Cerundolo, Francisco",Argentina,ARG,CER
31,0,1290,"Etcheverry, Tomas Martin",Argentina,ARG,ETC
32,0,1282,"Navone, Mariano",Argentina,ARG,NAV
33,7,1260,"Monfils, Gael",France,FRA,MON
34,0,1250,"Fils, Arthur",France,FRA,FIL
35,0,1245,"Arnaldi, Matteo",Italy,ITA,ARN
36,0,1240,"Davidovich Fokina, Alejandro",Spain,ESP,DAV
37,0,1236,"Darderi, Luciano",Italy,ITA,DAR
38,-5,1221,"Zhang, Zhizhen",China,CHN,ZHA
39,-1,1214,"Machac, Tomas",Czechia,CZE,MAC
40,-1,1206,"Thompson, Jordan",Australia,AUS,THO
41,0,1135,"Struff, Jan-Lennard",Germany,DEU,STR
42,2,1070,"Norrie, Cameron",Great Britain,GBR,NOR
43,2,1047,"Marozsan, Fabian",Hungary,HUN,MAR
44,-1,1045,"Safiullin, Roman",Neutral,HUN,SAF
45,9,1038,"Ofner, Sebastian",Austria,AUT,OFN
46,0,1020,"Giron, Marcos",USA,USA,GIR
47,0,981,"Popyrin, Alexei",Australia,AUS,POP
48,1,980,"Cobolli, Flavio",Italy,ITA,COB
49,-1,975,"Martinez, Pedro",Spain,ESP,MAR
50,1,936,"Borges, Nuno",Portugal,PRT,BOR
51,1,936,"Djere, Laslo",Serbia,SRB,DJE
52,1,925,"Kecmanovic, Miomir",Serbia,SRB,KEC
53,-3,893,"Kotov, Pavel",Neutral,SRB,KOT
54,3,881,"Sonego, Lorenzo",Italy,ITA,SON
55,7,881,"Michelsen, Alex",USA,USA,MIC
56,0,871,"Lajovic, Dusan",Serbia,SRB,LAJ
57,1,860,"Shevchenko, Alexander",Kazakhstan,KAZ,SHE
58,1,853,"Mpetshi Perricard, Giovanni",France,FRA,MPE
59,1,845,"Berrettini, Matteo",Italy,ITA,BER
60,1,844,"Evans, Daniel",Great Britain,GBR,EVA
61,-6,843,"Moutet, Corentin",France,FRA,MOU
62,-20,835,"Eubanks, Christopher",USA,USA,EUB
63,0,835,"Munar, Jaume",Spain,ESP,MUN
64,1,826,"Carballes Baena, Roberto",Spain,ESP,CAR
65,-1,825,"Nakashima, Brandon",USA,USA,NAK
66,0,821,"Koepfer, Dominik",Germany,DEU,KOE
67,0,808,"Diaz Acosta, Facundo",Argentina,ARG,DIA
68,26,795,"Purcell, Max",Australia,AUS,PUR
69,12,789,"Vukic, Aleksandar",Australia,AUS,VUK
70,-1,785,"Fucsovics, Marton",Hungary,HUN,FUC
71,-1,783,"Gaston, Hugo",France,FRA,GAS
72,-1,776,"Coria, Federico",Argentina,ARG,COR
73,-1,768,"Nagal, Sumit",India,IND,NAG
74,0,767,"Seyboth Wild, Thiago",Brazil,BRA,SEY
75,-2,760,"Nardi, Luca",Italy,ITA,NAR
76,-8,754,"Rinderknech, Arthur",France,FRA,RIN
77,-2,751,"Hijikata, Rinky",Australia,AUS,HIJ
78,7,738,"Mensik, Jakub",Czechia,CZE,MEN
79,-3,733,"O'Connell, Christopher",Australia,AUS,OCO
80,-3,731,"Altmaier, Daniel",Germany,DEU,ALT
81,-3,728,"Duckworth, James",Australia,AUS,DUC
82,-3,722,"Bergs, Zizou",Belgium,BEL,BER
83,-1,694,"Goffin, David",Belgium,BEL,GOF
84,-1,692,"Daniel, Taro",Japan,JPN,DAN
85,2,692,"Marterer, Maximilian",Germany,DEU,MAR
86,-2,690,"Monteiro, Thiago",Brazil,BRA,MON
87,1,683,"Ruusuvuori, Emil",Finland,FIN,RUU
88,-2,681,"Kovacevic, Aleksandar",USA,USA,KOV
89,0,664,"Coric, Borna",Croatia,HRV,COR
90,12,659,"Nishioka, Yoshihito",Japan,JPN,NIS
91,13,658,"Shang, Juncheng",China,CHN,SHA
92,-2,650,"Lestienne, Constant",France,FRA,LES
93,-1,639,"Kokkinakis, Thanasi",Australia,AUS,KOK
94,3,635,"Fognini, Fabio",Italy,ITA,FOG
95,-2,633,"Wawrinka, Stan",Switzerland,CHE,WAW
96,-16,626,"McDonald, Mackenzie",USA,USA,MCD
97,-1,618,"Van de Zandschulp, Botic",Netherlands,NLD,VAN
98,0,616,"Cazaux, Arthur",France,FRA,CAZ
99,0,615,"Karatsev, Aslan",Neutral,FRA,KAR
100,0,608,"Ugo Carabelli, Camilo",Argentina,ARG,UGO
101,6,607,"Walton, Adam",Australia,AUS,WAL
102,1,601,"Muller, Alexandre",France,FRA,MUL
103,3,592,"Galan, Daniel Elahi",Colombia,COL,GAL
104,-3,585,"van Assche, Luca",France,FRA,VAN
105,4,580,"Dzumhur, Damir",Bosnia & Herzegovina,BIH,DZU
106,5,570,"Garin, Cristian",Chile,CHL,GAR
107,5,570,"Ramos-Vinolas, Albert",Spain,ESP,RAM
108,5,562,"Mayot, Harold",France,FRA,MAY
109,5,557,"Kovalik, Jozef",Slovakia,SVK,KOV
110,-15,556,"Hanfmann, Yannick",Germany,DEU,HAN
111,-1,556,"Vacherot, Valentin",Monaco,MCO,VAC
112,10,555,"Bautista Agut, Roberto",Spain,ESP,BAU
113,2,548,"Murray, Andy",Great Britain,GBR,MUR
114,2,547,"Mmoh, Michael",USA,USA,MMO
115,-7,546,"Wolf, Jeffrey John",USA,USA,WOL
116,23,545,"Harris, Billy",Great Britain,GBR,HAR
117,0,543,"Cachin, Pedro",Argentina,ARG,CAC
118,-27,541,"Harris, Lloyd",South Africa,ZAF,HAR
119,-1,541,"Svajda, Zachary",USA,USA,SVA
120,-1,533,"De Jong, Jesper",Netherlands,NLD,DEJ
121,-1,530,"Shapovalov, Denis",Canada,CAN,SHA
122,-1,529,"Comesana, Francisco",Argentina,ARG,COM
123,0,523,"Kopriva, Vit",Czechia,CZE,KOP
124,0,522,"Bagnis, Facundo",Argentina,ARG,BAG
125,1,520,"Gasquet, Richard",France,FRA,GAS
126,1,517,"Medjedovic, Hamad",Serbia,SRB,MED
127,1,517,"Tirante, Thiago Agustin",Argentina,ARG,TIR
128,1,514,"Klein, Lukas",Slovakia,SVK,KLE
129,1,514,"Napolitano, Stefano",Italy,ITA,NAP
130,-25,513,"Barrere, Gregoire",France,FRA,BAR
131,-6,513,"Atmane, Terence",France,FRA,ATM
132,-1,506,"Passaro, Francesco",Italy,ITA,PAS
133,-1,498,"Kukushkin, Mikhail",Kazakhstan,KAZ,KUK
134,0,483,"Thiem, Dominic",Austria,AUT,THI
135,0,483,"Gigante, Matteo",Italy,ITA,GIG
136,1,482,"Ajdukovic, Duje",Croatia,HRV,AJD
137,1,481,"Riedi, Leandro",Switzerland,CHE,RIE
138,2,455,"Herbert, Pierre-Hugues",France,FRA,HER
139,2,434,"Cerundolo, Juan Manuel",Argentina,ARG,CER
140,-7,423,"Droguet, Titouan",France,FRA,DRO
141,2,420,"Mochizuki, Shintaro",Japan,JPN,MOC
142,2,419,"Burruchaga, Roman Andres",Argentina,ARG,BUR
143,-7,414,"Nava, Emilio",USA,USA,NAV
144,1,406,"Albot, Radu",Moldova,MDA,ALB
145,2,403,"Meligeni Alves, Felipe",Brazil,BRA,MEL
146,2,402,"Moreno de Alboran, Nicolas",USA,USA,MAN
147,2,401,"Virtanen, Otto",Finland,FIN,VIR
148,2,401,"Bellucci, Mattia",Italy,ITA,BEL
149,2,400,"Stricker, Dominic",Switzerland,CHE,STR
150,2,397,"Bonzi, Benjamin",France,FRA,BON
151,2,396,"Trungelliti, Marco",Argentina,ARG,TRU
152,2,393,"Rodionov, Jurij",Austria,AUT,ROD
153,2,392,"Zeppieri, Giulio",Italy,ITA,ZEP
154,2,392,"Hassan, Benjamin",Germany,DEU,HAS
155,2,385,"Raonic, Milos",Canada,CAN,RAO
156,-10,384,"Broady, Liam",Great Britain,GBR,BRO
157,-15,377,"Kypson, Patrick",USA,USA,KYP
158,0,377,"Pellegrino, Andrea",Italy,ITA,PEL
159,3,368,"Varillas, Juan Pablo",Peru,PER,VAR
160,-1,368,"Paire, Benoit",France,FRA,PAI
161,7,366,"Tseng, Chun Hsin",Chinese Taipei,TPE,TSE
162,-2,366,"Blanchet, Ugo",France,FRA,BLA
163,-2,363,"Watanuki, Yosuke",Japan,JPN,WAT
164,-1,359,"Yevseyev, Denis",Kazakhstan,KAZ,YEV
165,-1,358,"Roca Batalla, Oriol",Spain,ESP,ROC
166,0,355,"Diallo, Gabriel",Canada,CAN,DIA
167,0,355,"Kudla, Denis",USA,USA,KUD
168,1,354,"Llamas Ruiz, Pablo",Spain,ESP,LLA
169,1,354,"Galarneau, Alexis",Canada,CAN,GAL
170,1,353,"Martineau, Matteo",France,FRA,MAR
171,2,352,"Dellien, Hugo",Bolivia,BOL,DEL
172,-7,350,"Gojo, Borna",Croatia,HRV,GOJ
173,2,349,"Faria, Jaime",Portugal,PRT,FAR
174,0,344,"Choinski, Jan",Great Britain,GBR,CHO
175,3,341,"Ritschard, Alexander",Switzerland,CHE,RIT
176,3,341,"Schoolkate, Tristan",Australia,AUS,SCH
177,3,340,"Damm Jr, Martin",USA,USA,DAMM
178,3,337,"Squire, Henri",Germany,DEU,SQU
179,-7,337,"Wong, Coleman","Hong Kong, China",HKG,WON
180,2,333,"Misolic, Filip",Austria,AUT,MIS
181,2,333,"Piros, Zsombor",Hungary,HUN,PIR
182,3,332,"Schwartzman, Diego",Argentina,ARG,SWM
183,3,332,"Grenier, Hugo",France,FRA,GRE
184,4,331,"Hong, Seongchan",Republic of Korea,KOR,HON
185,2,328,"Heide, Gustavo",Brazil,BRA,HEI
186,-10,327,"Cressy, Maxime",USA,USA,CRE
187,-10,322,"Rocha, Henrique",Portugal,PRT,ROC
188,1,321,"Moro Canas, Alejandro",Spain,ESP,MOR
189,1,318,"Brouwer, Gijs",Netherlands,NLD,BRO
190,4,317,"Krueger, Mitchell",USA,USA,KRU
191,0,316,"de Loore, Joris",Belgium,BEL,DE
192,0,315,"Majchrzak, Kamil",Poland,POL,MAJ
193,-9,315,"Kasnikowski, Maks",Poland,POL,KAS
194,-1,314,"Zapata Miralles, Bernabe",Spain,ESP,ZAP
195,0,308,"Couacaud, Enzo",France,FRA,COU
196,0,306,"Barrios Vera, Marcelo Tomas",Chile,CHL,BAR
197,0,306,"Yunchaokete, Bu",China,CHN,YUN
198,0,305,"Hardt, Nick",Dominican Republic,DOM,HAR
199,0,303,"Prizmic, Dino",Croatia,HRV,PRI
200,0,301,"Hemery, Calvin",France,FRA,HEM
201,88,301,"Jubb, Paul",Great Britain,GBR,JUB
202,-1,301,"Molleker, Rudolf",Germany,DEU,MOL
203,0,297,"Uchiyama, Yasutaka",Japan,JPN,UCH
204,1,294,"Royer, Valentin",France,FRA,ROY
205,1,293,"Ymer, Elias",Sweden,SWE,YME
206,1,291,"Vavassori, Andrea",Italy,ITA,VAV
207,2,288,"Novak, Dennis",Austria,AUT,NOV
208,2,288,"Boyer, Tristan",USA,USA,BOY
209,2,288,"Polmans, Marc",Australia,AUS,POL
210,-8,286,"Tu, Li",Australia,AUS,TUL
211,1,285,"Escoffier, Antoine",France,FRA,ESC
212,1,284,"Pouille, Lucas",France,FRA,POU
213,-5,284,"Zhukayev, Beibit",Kazakhstan,KAZ,ZHU
214,0,282,"Dellien, Murkel",Bolivia,BOL,DEV
215,1,280,"Agamenone, Franco",Italy,ITA,AGA
216,-1,277,"Fonseca, Joao",Brazil,BRA,FON
217,0,276,"Crawford, Oliver",Great Britain,GBR,CRA
218,3,274,"Rincon, Daniel",Spain,ESP,RIN
219,3,273,"Ficovich, Juan Pablo",Argentina,ARG,FIC
220,3,272,"Halys, Quentin",France,FRA,HAL
221,-3,271,"Jasika, Omar",Australia,AUS,JAS
222,2,271,"Popko, Dmitry",Kazakhstan,KAZ,POP
223,-3,270,"Shelbayh, Abdullah",Jordan,JOR,SHE
224,60,269,"Gomez, Federico Agustin",Argentina,ARG,GOM
225,0,269,"Janvier, Maxime",France,FRA,JAN
226,0,267,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU
227,0,267,"Marchenko, Illya",Ukraine,UKR,MAR
228,0,266,"Andreev, Adrian",Bulgaria,BGR,AND
229,-25,264,"Huesler, Marc-Andrea",Switzerland,CHE,HUE
230,-1,257,"Skatov, Timofey",Kazakhstan,KAZ,SKA
231,-1,257,"Marie, Jules",France,FRA,MAR
232,-1,256,"Dougaz, Aziz",Tunisia,TUN,DOU
233,0,253,"Shimizu, Yuta",Japan,JPN,SHI
234,0,252,"Bolt, Alex",Australia,AUS,BOL
235,0,252,"Guinard, Manuel",France,FRA,GUI
236,0,252,"Tabur, Clement",France,FRA,TAB
237,0,250,"Vesely, Jiri",Czechia,CZE,VES
238,0,250,"Sweeny, Dane",Australia,AUS,SWE
239,0,250,"Jacquet, Kyrian",France,FRA,JAC
240,19,250,"Guillen Meza, Alvaro",Ecuador,ECU,GUI
241,0,249,"Sekulic, Philip",Australia,AUS,SEK
242,-2,249,"Neumayer, Lukas",Austria,AUT,NEU
243,-11,247,"Travaglia, Stefano",Italy,ITA,TRA
244,-25,245,"Fatic, Nerman",Bosnia & Herzegovina,BIH,FAT
245,4,245,"Tomic, Bernard",Australia,AUS,TOM
246,30,244,"Jianu, Filip Cristian",Romania,ROU,JIA
247,-4,243,"Fery, Arthur",Great Britain,GBR,FER
248,-3,242,"Broom, Charles",Great Britain,GBR,BRO
